funder,count,type,country,established
Mineral and Energy Economy Research Institute of the Polish Academy of Sciences,4,Facility,Poland,1985
Institute of Oceanology. PP Shirshov Russian Academy of Sciences,4,Facility,Russia,1946
Corporación Universitaria Regional del Caribe,4,Education,Colombia,1974
Ministry of Economic Development and Technology,4,Government,Slovenia,1957
Dominic Barker Trust,4,Nonprofit,United Kingdom,1997
JECS Trust,4,Other,Belgium,2007
Bowling Green State University,4,Education,United States,1910
Institute of Oceanography and Fisheries,4,Facility,Croatia,1930
Cannon Foundation,4,Nonprofit,United States,1943
Laboratório Nacional de Ciência e Tecnologia do Bioetanol,4,Other,Brazil,2010
Lagos State Health Service Commission,4,Government,Nigeria,
Institute of Paleobiology,4,Facility,Poland,1952
University of Life Sciences,4,Education,Poland,1944
University of Lille Nord de France,4,Education,France,2009
Brad Kamisky Foundation,4,Nonprofit,United States,2000
"Ministry of Agriculture, Forestry and Food Security",4,Government,Slovenia,
Ministry of Agriculture and Forests,4,Government,Bhutan,1985
Winston Churchill Memorial Trust,4,Other,Australia,1965
William Alanson White Institute,4,Healthcare,United States,1946
University of Naples Federico II,4,Education,Italy,1224
Institute of Natural Science,4,Education,North Korea,1967
Wiener - Anspach Foundation,4,Nonprofit,Belgium,1965
Landscape Research & Management,4,Other,United Kingdom,2013
Middlebury College,4,Education,United States,1800
Lanzhou University of Technology,4,Education,China,1919
Wikimédia France,4,Nonprofit,France,2004
Wikimedia Belgium,4,Nonprofit,Belgium,2014
University of Peshawar,4,Education,Pakistan,1950
University of Prince Edward Island,4,Education,Canada,1969
Instituto Nacional del Agua,4,Facility,Argentina,1973
Canal and River Trust,4,Nonprofit,United Kingdom,2012
University of Puerto Rico-Mayaguez,4,Education,United States,1911
University of Quindío,4,Education,Colombia,1960
Instituto Piaget,4,Education,Portugal,1979
White Mountains Community College,4,Education,United States,1966
Israeli Centers for Research Excellence,4,Government,Israel,2010
Miami Foundation,4,Nonprofit,United States,1967
University of Salamanca,4,Education,Spain,1134
University of Palermo,4,Education,Italy,1806
Wildlife Conservation Society Democratic Republic of the Congo,4,Nonprofit,Democratic Republic of the Congo,1959
"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso",4,Education,Brazil,2008
Italian Cultural Society of Washington D.C.,4,Education,Italy,1953
Council of Agriculture,4,Government,Taiwan,1912
University of North Alabama,4,Education,United States,1830
Landesbetrieb Landwirtschaft Hessen,4,Other,Germany,2005
Climate Risk Analysis (Germany),4,Company,Germany,2005
Wildwood Trust,4,Nonprofit,United Kingdom,
Milken Family Foundation,4,Other,United States,1982
University of North Dakota,4,Education,United States,1883
Military Research Institute,4,Company,Czechia,2012
Diabetes Foundation,4,Nonprofit,India,1986
Council of Ontario Universities,4,Other,Canada,1962
University of Northern Iowa,4,Education,United States,1876
Landesgesundheitsamt Baden-Württemberg,4,Government,Germany,
University of Notre Dame,4,Education,United States,1842
Landscape Institute,4,Other,United Kingdom,1929
Agency of Sustainable Development and Eurointegration,4,Nonprofit,Bulgaria,
Instituto Nacional de Biodiversidad,4,Facility,Ecuador,2014
University of La Rochelle,4,Education,France,1993
Institute of Natural Resources,4,Nonprofit,South Africa,1980
Latin American University of Science and Technology,4,Education,Panama,1991
Wrap (United Kingdom),4,Company,United Kingdom,2000
Civil Aviation Authority,4,Government,Tanzania,1972
"Ministry of Local Government, Rural Development and Co-operatives",4,Government,Bangladesh,2001
University of Central Missouri,4,Education,United States,1871
Institute of Evolutionary Physiology and Biochemistry,4,Facility,Russia,1950
Wuhan Botanical Garden,4,Archive,China,1956
Krones (Germany),4,Company,Germany,1951
Institute of Fisheries and Aquaculture,4,Facility,Bulgaria,1952
Kunming Institute of Zoology,4,Facility,China,1959
Wuhan Engineering Science & Technology Institute,4,Facility,China,1974
Calvin University,4,Education,United States,1876
Cape Breton University,4,Education,Canada,
Institute of Forest Genetics and Tree Breeding,4,Facility,India,1988
"Ministry of Industry, Energy and Tourism",4,Government,Spain,2000
University of Córdoba,4,Education,Spain,1972
Institute of Forestry,4,Education,Serbia,
Kuwait Institute for Scientific Research,4,Government,Kuwait,1967
University of Cape Town Fund,4,Nonprofit,United States,1984
Kresge Foundation,4,Nonprofit,United States,1924
ANA Aeroportos de Portugal (Portugal),4,Company,Portugal,1998
Japan International Research Center for Agricultural Sciences,4,Facility,Japan,1993
Capital Fund Management (France),4,Company,France,1991
Korea Telecom (South Korea),4,Company,South Korea,1981
Korea-China Science & Technology Cooperation Center,4,Government,South Korea,2003
University of Bern,4,Education,Switzerland,1834
University of Bologna,4,Education,Italy,1088
Władysław Szafer Institute of Botany,4,Facility,Poland,1953
Koul Research Foundation,4,Nonprofit,India,1996
Ministry of Regional Development,4,Government,Spain,1996
California Teaching Fellows Foundation,4,Education,United States,1999
Institute of Electronic Business,4,Facility,Germany,1999
Kowa Life Science Foundation,4,Nonprofit,Japan,1984
Wyoming Humanities Council,4,Nonprofit,United States,1973
Wyoming Department of Education,4,Government,United States,1917
Krasnoyarsk Scientific Center,4,Facility,Russia,1978
"University of California, San Diego",4,Education,United States,1960
"University of Campania ""Luigi Vanvitelli""",4,Education,Italy,1991
Kuwait Petroleum Corporation (Kuwait),4,Company,Kuwait,1980
Ministry of Housing and Urban-Rural Development,4,Government,China,2008
Institute of Monitoring of Climatic and Ecological Systems,4,Facility,Russia,1972
Macau Polytechnic Institute,4,Education,China,1991
Aix-Marseille University,4,Education,France,1409
Botanic Gardens and Parks Authority,4,Government,Australia,1999
Institute of Marine and Coastal Research,4,Facility,Argentina,
Botanical Institute VL Komarova,4,Facility,Russia,1714
Cornell College,4,Education,United States,1853
"Ministry of Education, Research, Culture and Sport",4,Government,Spain,
"Ministry of Education, Recreation and Sports",4,Government,Canada,1964
CI2,4,Nonprofit,Czechia,2013
University of Granada,4,Education,Spain,1531
University of Indonesia,4,Education,Indonesia,1849
"Ministry of Education, Culture and Research",4,Government,Moldova,1953
JPB Foundation,4,Other,United States,2011
Ministry of Education and Skills Development,4,Government,Botswana,2016
University of Jyväskylä,4,Education,Finland,1934
Women of Faith and Hope,4,Nonprofit,United States,1994
Dongguan Frontier Technology Research Institute,4,Facility,China,2014
University of Greifswald,4,Education,Germany,1456
Labex (Sweden),4,Company,Sweden,1973
Bologna Research Area,4,Facility,Italy,
Ministry of Foreign Affairs and Trade,4,Government,New Zealand,1943
"Ministry of Higher Education Science, and Technology",4,Government,Slovenia,1982
Akershus County Council,4,Government,Norway,
Dublin City Council,4,Government,Ireland,1841
World Resources Institute,4,Nonprofit,United States,1982
Ministry of Higher Education And Scientific Research,4,Government,Sudan,
World Medicine Institute,4,Education,United States,1970
Institute of Geosphere Dynamics,4,Facility,Russia,1946
Institute of Grassland Research,4,Facility,China,1963
Woods Hole Sea Grant,4,Other,United States,1977
Institute of Hydrobiology,4,Facility,China,1950
World Cancer Research Fund UK,4,Nonprofit,United Kingdom,1990
Borstkankervereniging Nederland,4,Healthcare,Netherlands,1979
ANP Technologies (United States),4,Company,United States,2002
World Bank Group,4,Other,United States,1944
Drexel University,4,Education,United States,1891
Ministry of Environment Science Technology and Innovation,4,Government,Ghana,1993
Wheaton College - Illinois,4,Education,United States,1860
Instituto Superior Monitor,4,Education,Mozambique,2008
AGH University of Science and Technology,4,Education,Poland,1919
De Nederlandsche Bank,4,Other,Netherlands,1814
Marine Mammal Stranding Center,4,Nonprofit,United States,1978
Bryn Mawr College,4,Education,United States,1885
Buccleuch Living Heritage Trust,4,Nonprofit,United Kingdom,2010
Utrecht University,4,Education,Netherlands,1636
Canaan Valley Institute,4,Nonprofit,United States,1995
Dean College,4,Education,United States,1865
Waikato Regional Council,4,Government,New Zealand,1989
Collaboration for Australian Weather and Climate Research,4,Facility,Australia,
Advanced Coatings (Belgium),4,Company,Belgium,1965
Marguerite Casey Foundation,4,Nonprofit,United States,2001
Vale (Brazil),4,Company,Brazil,1942
International Studio & Curatorial Program,4,Other,United States,1994
Marcus and Amalia Wallenberg Foundation,4,Other,Sweden,1960
Administração Regional De Saude Do Centro,4,Government,Portugal,2007
Valencian International University,4,Education,Spain,2008
WTTW,4,Nonprofit,United States,1952
Warwickshire Wildlife Trust,4,Nonprofit,United Kingdom,1957
Lower Columbia Estuary Partnership,4,Other,United States,2000
Marbrook Foundation,4,Nonprofit,United States,1948
Interbion,4,Other,Switzerland,1980
Université Bourgogne Franche-Comté,4,Education,France,2015
Inter-Euro Technology,4,Company,Ireland,1989
Inter-University Council for East Africa,4,Education,Uganda,1980
Université du Québec en Abitibi-Témiscamingue,4,Education,Canada,1970
DAV (France),4,Company,France,1959
InterGrain,4,Company,Australia,2007
Maritime and Port Authority of Singapore,4,Government,Singapore,1996
Defense Threat Reduction Agency,4,Government,United States,1998
Marine Megafauna Foundation,4,Nonprofit,United States,2009
Collaborative Africa Budget Reform Initiative,4,Other,South Africa,2004
Canadian Institute for Advanced Research,4,Facility,Canada,1982
Washington State Department of Ecology,4,Government,United States,1970
Urban Unit,4,Government,Pakistan,2006
Urban planning Institute of the Republic of Slovenia,4,Facility,Slovenia,1955
Urtek Water Technologies (Spain),4,Company,Spain,
Marine National Facility,4,Facility,Australia,1984
Coe College,4,Education,United States,1851
WATCH,4,Nonprofit,Nepal,1992
Water Security Agency,4,Government,Canada,2012
Danish Center for Social Science Research,4,Government,Denmark,2012
Main Roads Western Australia,4,Government,Australia,1930
MRIGlobal,4,Nonprofit,United States,1944
Victorian Life Sciences Computation Initiative,4,Education,Australia,2008
Danish Geodata Agency,4,Other,Denmark,1987
Dalian Ocean University,4,Education,China,1952
Vienna City Library,4,Archive,Austria,1856
Virginia Military Institute,4,Education,United States,1839
Viet Nam Government,4,Government,Vietnam,1980
International Graduate School of Leadership,4,Education,Philippines,1981
Madrid Health Service,4,Healthcare,Spain,2001
MVN University,4,Education,India,2012
Colegio de Postgraduados,4,Education,Mexico,1959
MWH (United Kingdom),4,Company,United Kingdom,1820
International Law Institute,4,Education,Russia,1992
Maa- ja Vesitekniikan Tuki Ry,4,Nonprofit,Finland,1949
Virginia Commonwealth University,4,Education,United States,1838
Maine Department of Agriculture Conservation and Forestry,4,Government,United States,
Coker College,4,Education,United States,1908
Davao Oriental State College of Science and Technology,4,Education,Philippines,1989
Volpe National Transportation Systems Center,4,Government,United States,
Marathon Oil (United States),4,Company,United States,1887
International Centre for Infectious Diseases,4,Nonprofit,Canada,2004
DataONE,4,Archive,China,
International Centre for Reindeer Husbandry,4,Other,Norway,2005
Canadian Energy Research Institute,4,Facility,Canada,1975
M S Swaminathan Research Foundation,4,Nonprofit,India,1988
Vancouver Aquarium,4,Nonprofit,Canada,1956
Maine Space Grant Consortium,4,Nonprofit,United States,1988
"Danish Ministry of Food, Agriculture and Fisheries",4,Government,Denmark,2019
Maine Sea Grant,4,Other,United States,1971
Veolia Environmental Trust,4,Nonprofit,United Kingdom,1997
Vermont Natural Resources Council,4,Nonprofit,United States,
Voice Foundation,4,Nonprofit,United States,1969
MI College,4,Education,Maldives,2006
Canada Economic Development for Quebec Regions,4,Government,Canada,
Canadian Bee Research Fund,4,Nonprofit,Canada,
Bushnell University,4,Education,United States,1895
Marwell Zoo,4,Archive,United Kingdom,1972
Cree (United States),4,Company,United States,1987
Legislative Council of Hong Kong,4,Government,China,1843
University of Technology Sydney,4,Education,Australia,1988
Abraham Lincoln Presidential Library and Museum,4,Archive,United States,1990
Instituto de Botânica,4,Facility,Brazil,1938
African Fertilizer and Agribusiness Partnership,4,Company,South Africa,2012
Medical Care Development International,4,Nonprofit,United States,1977
Western Governors Association,4,Other,United States,
Instituto de Desenvolvimento Sustentável Mamirauá,4,Nonprofit,Brazil,1999
Cultivating Community,4,Other,United States,2001
Medical Research Scotland,4,Nonprofit,United Kingdom,
MedPharm (United Kingdom),4,Company,United Kingdom,1999
Instituto de Fomento Pesquero,4,Government,Chile,1964
African Academy of Sciences,4,Facility,Kenya,1985
Academia Nacional de Ciencia y Tecnología,4,Government,Peru,1995
Africagrowth Institute (South Africa),4,Company,South Africa,2004
Mcnulty Foundation,4,Nonprofit,United States,1985
University of Veterinary and Animal Sciences,4,Education,Pakistan,1882
Abney Foundation,4,Nonprofit,United States,1957
Le Studium,4,Facility,France,1996
Department of Education,4,Government,Australia,2015
Croatian Personal Data Protection Agency,4,Government,Croatia,2004
CDI (United States),4,Company,United States,1950
Metropolitan Black Police Association,4,Other,United Kingdom,1974
"Meteorological, Climatological, And Geophysical Agency",4,Government,Indonesia,1866
Western Transportation Institute,4,Other,United States,1994
Mendel University in Brno,4,Education,Czechia,1919
Clinical Research Consortium,4,Other,United States,
Lawrence University,4,Education,United States,1847
Instituto Universitario Escuela Superior de Economía y Administración de Empresas,4,Education,Argentina,1978
African Studies Centre,4,Facility,Netherlands,1947
Island Institute,4,Nonprofit,United States,1983
University of South-Eastern Norway,4,Education,Norway,2016
University of Southern Denmark,4,Education,Denmark,1998
University of Southern Queensland,4,Education,Australia,1967
Meise Botanic Garden,4,Archive,Belgium,1840
University of Sri Jayewardenepura,4,Education,Sri Lanka,1959
Island Health,4,Healthcare,Canada,2001
Canadian Sphagnum Peat Moss Association,4,Other,Canada,1988
British Poultry Council,4,Government,United Kingdom,
Logan City Council,4,Government,Australia,1978
University of Würzburg,4,Education,Germany,1402
"Department for Business, Energy and Industrial Strategy",4,Government,United Kingdom,2016
Iran Meteorological Organization,4,Facility,Iran,1955
Life Lab,4,Nonprofit,United States,1979
Life Pacific College,4,Education,United States,1923
LifeMoves,4,Nonprofit,United States,1987
Limousin Regional Council,4,Government,France,
Weitz Family Foundation,4,Other,United States,2000
Departament de Territori i Sostenibilitat,4,Other,Spain,1995
National Ecological Observatory Network,4,Facility,United States,2006
Academy of Romanian Scientists,4,Facility,Romania,1935
Instytut Badawczy Leśnictwa,4,Facility,Poland,1930
Little Giraffe Foundation,4,Other,United States,2011
Weber State University,4,Education,United States,1889
Collaborative Innovation Center of Chemistry for Energy Materials,4,Facility,China,2012
Wayne State University,4,Education,United States,1868
Maryland Agricultural Education Foundation,4,Nonprofit,United States,1989
Coastal States Stewardship Foundation,4,Government,United States,2004
Department for the Economy,4,Government,United Kingdom,1921
Department of Disaster Prevention and Mitigation,4,Government,Thailand,2002
Coastal Carolina Research Center,4,Facility,United States,1997
University of Warsaw,4,Education,Poland,1816
"Department of Culture, Heritage and the Gaeltacht",4,Government,Ireland,1977
Mbarara University of Science and Technology,4,Education,Uganda,1989
University of Washington Applied Physics Laboratory,4,Facility,United States,1943
Academic Bridge Program,4,Education,Qatar,2001
Instituto de Pesca,4,Facility,Brazil,
Instituto de Pesquisa Ambiental da Amazônia,4,Nonprofit,Brazil,1995
University of Western Brittany,4,Education,France,1971
University of Wisconsin–Green Bay,4,Education,United States,1965
Coastal Carolina University,4,Education,United States,1954
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,4,Archive,Brazil,1808
Department of Archaeology,4,Government,Sri Lanka,1890
Irish Heritage Trust,4,Nonprofit,Ireland,2006
Max Planck Institute for Evolutionary Biology,4,Facility,Germany,2007
"Department of Agriculture, Water and the Environment",4,Government,Australia,2020
University of Winnipeg,4,Education,Canada,1871
"Ministry of Sustainable Development, Environment and the Fight against Climate Change",4,Government,Canada,1979
Institute of Microbiology,4,Facility,Czechia,1948
Macalester College,4,Education,United States,1874
Yukon Department of Tourism and Culture,4,Government,Canada,
Youth Leadership Institute,4,Other,United States,1991
Universidade de Vigo,4,Education,Spain,1990
National Bureau of Statistics of China,4,Other,China,1952
Universidade de São Paulo,4,Education,Brazil,1934
Birmingham City Council,4,Government,United Kingdom,1974
United Soybean Board,4,Other,United States,1990
Eckerd College,4,Education,United States,1958
Universidade da Madeira,4,Education,Portugal,1988
Monteco (Canada),4,Company,Canada,1991
Montpellier SupAgro,4,Education,France,1842
United States Air Force Office of Scientific Research,4,Government,United States,
Alpha Phi Foundation,4,Nonprofit,United States,1872
Cabildo Insular de La Palma,4,Government,Spain,1989
Institute for Integrative Systems Biology,4,Facility,Spain,2018
Universidade Federal de Pelotas,4,Education,Brazil,1969
Universidade Federal de Mato Grosso,4,Education,Brazil,1970
Citizens Committee for Historic Preservation,4,Archive,United States,1977
Universidade Federal de Juiz de Fora,4,Education,Brazil,1960
Ecolab (United States),4,Company,United States,1923
El Colegio de Veracruz,4,Education,Mexico,2002
Caribou Biosciences (United States),4,Company,United States,
Kansas Space Grant Consortium,4,Other,United States,1991
Kieikai Research Foundation,4,Nonprofit,Japan,
Moritani Scholarship Foundation,4,Other,Japan,1972
Biotrend (Portugal),4,Company,Portugal,2000
Moss Landing Marine Laboratories,4,Facility,United States,1966
Yukon Department of Environment,4,Government,Canada,
ACT Department of Treasury,4,Government,United States,
Universitas 45 Mataram,4,Education,Indonesia,1983
Biophysical Society,4,Other,United States,1958
Insect Research Systems (United Kingdom),4,Company,India,2013
Kansas City Museum,4,Archive,United States,1940
Mobox Foundation,4,Other,United Kingdom,2015
Biomass and Fossil Fuel Research Alliance (United Kingdom),4,Company,United Kingdom,2009
National Center for Biotechnology Information,4,Facility,United States,1988
Cargill (United States),4,Company,United States,1865
Kings Foundation,4,Nonprofit,United Kingdom,1991
Community Foundation of Louisville,4,Nonprofit,United States,1984
United Kingdom Petroleum Industry Association,4,Other,United Kingdom,
East Tennessee State University,4,Education,United States,1911
Elektro Ljubljana (Slovenia),4,Company,Slovenia,1896
Monash Institute of Medical Research,4,Healthcare,Australia,1991
CNR Services International (United Kingdom),4,Company,United Kingdom,1989
CO2CRC,4,Nonprofit,New Zealand,
Institute for Rehabilitation and Research Foundation,4,Nonprofit,United States,
Monsanto Fund,4,Nonprofit,United States,1964
ebm-papst,4,Company,Germany,1963
Universitas Kebangsaan Republik Indonesia,4,Education,Indonesia,1985
Eastern Kentucky University,4,Education,United States,1906
United Nations Children's Fund India,4,Other,India,1946
Insects Limited (United States),4,Company,United States,1982
"United Nations Educational, Scientific and Cultural Organization Switzerland",4,Government,Switzerland,1945
eThekwini Municipality,4,Government,South Africa,2000
Inserm,4,Government,France,1964
Kansas City Research Institute,4,Other,United States,2012
King Fahd University of Petroleum and Minerals,4,Education,Saudi Arabia,1963
Universitas Islam Negeri Maulana Malik Ibrahim,4,Education,Indonesia,2004
Universidad del Mar,4,Education,Chile,1989
Ca' Foscari University of Venice,4,Education,Italy,1868
Jordan-Young Institute,4,Healthcare,United States,1986
Kidney Health Australia,4,Nonprofit,Australia,1968
Biomol Informatics (Spain),4,Company,Spain,2007
Universidad Internacional del Ecuador,4,Education,Ecuador,1992
NASA Exoplanet Science Institute,4,Other,United States,2008
NATO Science and Technology Organization,4,Education,Belgium,1996
NCC (Denmark),4,Company,Denmark,1988
Johnson Foundation,4,Nonprofit,United States,1961
NCC (Norway),4,Company,Norway,1988
Edge Hill University,4,Education,United Kingdom,1885
California Coastal Commission,4,Government,United States,1972
John Simon Guggenheim Memorial Foundation,4,Nonprofit,United States,1925
"National Agency for New Technologies, Energy and Sustainable Economic Development",4,Government,Italy,1982
John S. and James L. Knight Foundation,4,Nonprofit,United States,1950
Compute Canada,4,Other,Canada,2006
Universidad Dr. Andrés Bello,4,Education,El Salvador,1989
Compuplast International (Czechia),4,Company,Czechia,1990
Bioprojet (France),4,Company,France,1992
Education & Research Foundation,4,Nonprofit,United States,1973
National Academy of Medicine,4,Nonprofit,United States,1970
Universidad Autónoma del Estado de México,4,Education,Mexico,1828
John Rex Endowment,4,Nonprofit,United States,2001
National Academy Foundation,4,Nonprofit,United States,1982
Nansen Neuroscience Network,4,Nonprofit,Norway,2010
Univates,4,Education,Brazil,1969
Education Department of Jiangxi Province,4,Government,China,1992
Universal Scientific Industrial (China),4,Company,China,2003
Zhejiang International Studies University,4,Education,China,1987
Kelliher Charitable Trust,4,Nonprofit,New Zealand,1963
Biosearch Life (Spain),4,Company,Spain,2000
Biospace Lab (France),4,Company,France,1989
Kent State University,4,Education,United States,1910
Yunnan Population and Family Planning Research Institute,4,Facility,China,1981
Economia (Czech Republic),4,Company,Czechia,1990
Khaled bin Sultan Living Oceans Foundation,4,Nonprofit,United States,2000
Yunnan Investment Group (China),4,Company,China,1997
Yunnan Machinery Research and Design Institute,4,Facility,China,1977
Confederated Tribes of Siletz Indians,4,Government,United States,1977
Universidad de Los Andes,4,Education,Bolivia,1995
National Bioproducts Institute (South Africa),4,Company,South Africa,
Einstein Foundation,4,Other,Germany,2009
Institut Français des Relations Internationales,4,Nonprofit,France,1979
Biotage (Sweden),4,Company,Sweden,1969
Karadeniz Technical University,4,Education,Turkey,1955
Museu Paraense Emílio Goeldi,4,Archive,Brazil,1866
California Environmental Protection Agency,4,Government,United States,1991
Museum of New Zealand Te Papa Tongarewa,4,Archive,New Zealand,1992
Economic and Social Research Foundation,4,Nonprofit,Tanzania,1994
Condite,4,Other,Netherlands,2000
"Biomedical Research Networking Center in Bioengineering, Biomaterials and Nanomedicine",4,Other,Spain,2006
Yunnan University,4,Education,China,1922
Kerala Forest Research Institute,4,Facility,India,1975
National Association of Conservation Districts,4,Other,United States,1946
Biota Institut für ökologische Forschung und Planung (Germany),4,Company,Germany,1993
Museum of Boulder,4,Archive,United States,1944
Carnegie Observatories,4,Facility,United States,1904
Korea Meteorological Administration,4,Government,South Korea,1904
National Archaeological Museum of Spain,4,Archive,Spain,1867
Carnegie UK Trust,4,Nonprofit,United Kingdom,1913
ACT Herpetological Association,4,Nonprofit,Australia,1985
Competitive Design Network (Spain),4,Company,Spain,
University College London,4,Education,United Kingdom,1826
National Cold Water Marine Aquaculture Center,4,Facility,United States,
UMR Géographie-cités,4,Facility,France,1987
Consejería de Educación y Empleo,4,Government,Spain,
UP-Tex,4,Other,France,1901
Conseil Régional de Picardie,4,Government,France,
Kabardino-Balkarski Nature Reserve,4,Other,Russia,1976
ECO Environmental Investments (China),4,Company,China,2000
UK Carbon Capture and Research Centre,4,Other,United Kingdom,
Employee Assistance Research Foundation,4,Nonprofit,United States,2007
Institute of Biochemistry,4,Education,Romania,1952
École Normale Supérieure de Lyon,4,Education,France,1880
University College of Islamabad,4,Education,Pakistan,1992
Kahoolawe Island Reserve Commission,4,Government,United States,1793
Conservation through Poverty Alleviation International,4,Nonprofit,United States,
Alexander & Margaret Stewart Trust,4,Nonprofit,United States,1947
João Pinheiro Foundation,4,Government,Brazil,1969
YY (China),4,Company,China,2005
Yangtze River Delta Physics Research Center (China),4,Company,China,
UPM (Finland),4,Company,Finland,1996
ECRI Institute,4,Nonprofit,United States,1968
Kirin (Japan),4,Company,Japan,1885
Mississippi Department of Environmental Quality,4,Government,United States,
Bletchley Park Trust,4,Other,United Kingdom,1993
National Centre for Research,4,Facility,Sudan,1991
Minnesota State Colleges and Universities System,4,Education,United States,1995
Alcoa (United States),4,Company,United States,1888
Miriam Foundation,4,Nonprofit,Canada,1973
University Graduate Center,4,Education,Norway,1987
Jiangsu Provincial Marine and Fisheries Bureau,4,Facility,China,2009
Conseil départemental de l'Essonne,4,Government,France,1968
ERT (Germany),4,Company,Germany,1977
École Pratique des Hautes Études,4,Education,France,1868
Jiangsu Provincial Key Laboratory of Network and Information Security,4,Facility,China,2003
Minnesota Geological Survey,4,Government,United States,1872
Aletheia University,4,Education,Taiwan,1872
Institute of Agricultural Sciences,4,Facility,Spain,2004
Elon University,4,Education,United States,1889
Christian Missionary Fellowship International,4,Nonprofit,Kenya,1946
Colorado Trust,4,Other,United States,1985
University of Antananarivo,4,Education,Madagascar,1955
Cardiff University,4,Education,United Kingdom,1883
Ministry of the Interior,4,Government,Finland,1809
Xingx (China),4,Company,China,1988
Chongqing Technology and Business University,4,Education,China,1952
National Center for Leather and Shoes,4,Government,Tunisia,1969
Bjerknes Centre for Climate Research,4,Facility,Norway,2000
Mitsubishi Heavy Industries (Germany),4,Company,Germany,1934
Jewish Community Foundation,4,Nonprofit,United States,1972
Biological Consulting Services (United States),4,Company,United States,
Conselho de reitores das Universidades Estaduais de São Paulo,4,Government,Brazil,1987
Ministère des Transports,4,Government,Canada,1969
California Marine Sanctuary Foundation,4,Nonprofit,United States,1995
BlackBox Biometrics (United States),4,Company,United States,2011
Unilever (United States),4,Company,United States,1930
Knology,4,Nonprofit,United States,2012
Inova Health System,4,Healthcare,United States,1956
Alexander S Onassis Public Benefit Foundation,4,Other,Greece,1975
U-Casadh Project (Ireland),4,Company,Ireland,2008
iThemba Laboratory,4,Facility,South Africa,1983
Universiti Malaysia Terengganu,4,Education,Malaysia,1979
Knowledge Innovation Market,4,Other,Spain,2007
Innovative Scientific Information & Services Network,4,Nonprofit,Pakistan,2004
Écologie et Biologie des Interactions,4,Facility,France,2012
KBase,4,Government,United States,
University of A Coruña,4,Education,Spain,1989
Ministry of the Environment and Spatial Planning,4,Government,Slovenia,
Earth System Research Laboratory,4,Facility,United States,2005
National Council on Ethics in Human Research,4,Nonprofit,Canada,1989
Uks,4,Facility,United Kingdom,1997
Yokohama National University,4,Education,Japan,1876
University for the Creative Arts,4,Education,United Kingdom,2005
Korea Environmental Policy and Administration Society,4,Other,South Korea,1993
"National Clonal Germplasm Repository for Tree Fruit, Nut Crops, and Grapes",4,Archive,United States,
Earth Trust,4,Nonprofit,United Kingdom,1967
Consolidated Edison (United States),4,Company,United States,1823
UBC (United States),4,Company,United States,1980
Alberta Oil Sands Technology and Research Authority,4,Other,Canada,1974
CAPEable Adventures,3,Nonprofit,United States,2007
Joint Base San Antonio,3,Government,United States,2005
Research Station of the Russian Academy of Sciences in Bishkek,3,Facility,Kyrgyzstan,1978
Karagozian & Case (United States),3,Company,United States,1945
Karlstad University,3,Education,Sweden,1977
General Electric (United States),3,Company,United States,1892
Austin Independent School District,3,Education,United States,1881
MPI Research (United States),3,Company,United States,1995
MOA Health Science Foundation,3,Other,Japan,1991
Iran University of Medical Sciences,3,Education,Iran,1973
Lincoln Agritech (New Zealand),3,Company,New Zealand,1964
Library of Congress,3,Archive,United States,1800
Lighthouse Trust,3,Healthcare,Malawi,2001
Penn West Exploration (Canada),3,Company,Canada,1979
International Office for Water,3,Nonprofit,France,1991
Camilo José Cela University,3,Education,Spain,2000
Plant Bioscience Limited (United Kingdom),3,Company,United Kingdom,1994
Research Institute of Horticulture and Seeds,3,Facility,France,2012
Gansu Academy of Sciences,3,Facility,China,1978
CB Wetlands & Environmental Specialists,3,Other,Canada,1998
Research Institute of Fur Industry,3,Facility,Russia,1943
KOAC,3,Company,Netherlands,1992
Robert Koch Institute,3,Government,Germany,1891
Research Institute for Tropical Medicine,3,Facility,Philippines,1981
Paton (Canada),3,Company,Canada,1984
Kelley Foundation,3,Nonprofit,United States,1954
Irish Sea Fisheries Board,3,Other,Ireland,1952
Ayuntamiento de Valencia,3,Other,Spain,
CBC (Canada),3,Company,Canada,1936
Isaac Newton Institute,3,Facility,Chile,1978
Research Institute for Fodder Crops (Czechia),3,Company,Czechia,
MacConnell Research (United States),3,Company,United States,1989
Leuka,3,Nonprofit,United Kingdom,1982
Research Institute of Industrial Science and Technology,3,Facility,South Korea,1987
Road Map Project,3,Nonprofit,United States,2010
Liaoning Ocean and Fisheries Research Institute,3,Facility,China,1950
Grantmakers in the Arts,3,Nonprofit,United States,1985
Generaldirektion Kulturelles Erbe Rheinland-Pfalz,3,Government,Germany,2007
Research Institute of Tropical Forestry,3,Facility,China,1962
Central Michigan University Research Corporation,3,Nonprofit,United States,1999
Gansu Research Academy of Forestry Science and Technology,3,Other,China,
MS Biotec (United States),3,Company,United States,2010
International Olive Council,3,Other,Spain,1959
KWS (United Kingdom),3,Company,United Kingdom,1856
Iranian Research Organization for Science and Technology,3,Facility,Iran,1980
Plymouth State University,3,Education,United States,1871
Karst Waters Institute,3,Education,United States,
CVPath Institute,3,Nonprofit,United States,2005
Poder Judicial de la Ciudad de Buenos Aires,3,Government,Argentina,
Centre for Industrial Technological Development,3,Nonprofit,Spain,1977
